"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1017095"," 000000003167878808.","2017-08-02","17:10:07.000000","3","000000000023559089","101873311","103066008"," 0000035.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000035.95","1"," 0000000.00","0","N"," 000007.020"," 0000035.95"
"VSS","1017017"," 000000003167608359.","2017-08-02","13:36:00.000000","3","000000000023593092","101695376","101695376"," 0000000.00","0"," 0000000.00","0"," 0000037.83","1"," 0000000.00","0"," 000000037.83","1"," 0000000.00","0","Y"," 000012.590"," 0000045.95"
"VSS","1013611"," 000000003167594128.","2017-08-02","16:38:09.000000","2","000000000023582116","0","103063945"," 0000000.00","0"," 0000000.00","0"," 0000003.50","1"," 0000000.00","0"," 000000003.50","1"," 0000000.00","0","N"," 000002.030"," 0000010.50"
"VSS","1013516"," 000000003167582941.","2017-08-02","13:15:39.000000","3","000000000023566042","101682014","101377933"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.480"," 0000010.50"
"VSS","1017286"," 000000003167613818.","2017-08-02","12:09:27.000000","2","000000000023535383","103098143","103098143"," 0000000.00","0"," 0000000.00","0"," 0000024.00","1"," 0000000.00","0"," 000000024.00","1"," 0000000.00","0","Y"," 000006.060"," 0000034.95"
"VSS","1016451"," 000000003167875672.","2017-08-02","18:30:59.000000","4","000000000023566184","103111174","101887170"," 0000032.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000032.95","1"," 0000000.00","0","Y"," 000007.270"," 0000032.95"
"VSS","1017195"," 000000003167612046.","2017-08-02","12:31:20.000000","3","000000000023581038","101851938","101852000"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.680"," 0000010.50"
"VSS","1017044"," 000000003167607995.","2017-08-02","16:58:57.000000","3","000000000023581991","0","101780336"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.670"," 0000010.50"
"VSS","1017194"," 000000003167604870.","2017-08-02","16:07:53.000000","4","000000000023579388","103019498","101507246"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","Y"," 000007.100"," 0000058.00"
"VSS","1017196"," 000000003167609339.","2017-08-02","13:59:26.000000","3","000000000023586309","101899159","101415060"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.670"," 0000010.50"
"VSS","1013469"," 000000003167582809.","2017-08-02","15:25:46.000000","7","000000000023468664","101790621","101886918"," 0000000.00","0"," 0000000.00","0"," 0000025.58","1"," 0000000.00","0"," 000000025.58","1"," 0000000.00","0","N"," 000008.610"," 0000026.95"
"VSS","1016452"," 000000003167601398.","2017-08-02","16:52:39.000000","2","000000000023560426","0","101916533","-0000026.95","-1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0","-000000026.95","-1"," 0000016.17","1","N"," 000007.420"," 0000026.95"
"VSS","1016995"," 000000003167597428.","2017-08-02","13:49:35.000000","3","000000000023564799","101867883","103070932"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","Y"," 000001.610"," 0000010.50"
"VSS","1013593"," 000000003167592792.","2017-08-02","15:23:26.000000","1","000000000023591582","0","101888030"," 0000059.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000059.95","1"," 0000000.00","0","N"," 000017.200"," 0000059.95"
"VSS","1013589"," 000000003167591949.","2017-08-02","14:25:56.000000","2","000000000023562286","0","103100929"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.700"," 0000010.50"
